name,marks,status,source_file
Student1,91.0,Pass,classA.xlsx
Student2,56.0,Pass,classA.xlsx
Student3,36.0,Fail,classA.xlsx
Student4,2.0,Fail,classA.xlsx
Student5,7.0,Fail,classA.xlsx
Student6,54.0,Pass,classA.xlsx
Student7,54.0,Pass,classA.xlsx
Student8,61.0,Pass,classA.xlsx
Student9,70.0,Pass,classA.xlsx
Student10,34.0,Fail,classA.xlsx
Student11,33.0,Fail,classA.xlsx
Student12,25.0,Fail,classA.xlsx
Student13,46.0,Pass,classA.xlsx
Student14,30.0,Fail,classA.xlsx
Student15,22.0,Fail,classA.xlsx
Student16,81.0,Pass,classA.xlsx
Student17,22.0,Fail,classA.xlsx
Student18,59.0,Pass,classA.xlsx
Student19,66.0,Pass,classA.xlsx
Student20,47.0,Pass,classA.xlsx
Student21,8.0,Fail,classA.xlsx
Student22,88.0,Pass,classA.xlsx
Student23,52.0,Pass,classA.xlsx
Student24,31.0,Fail,classA.xlsx
Student25,0.0,Fail,classA.xlsx
Student26,8.0,Fail,classA.xlsx
Student27,69.0,Pass,classA.xlsx
Student28,59.0,Pass,classA.xlsx
Student29,48.0,Pass,classA.xlsx
Student30,87.0,Pass,classA.xlsx
Student31,95.0,Pass,classA.xlsx
Student32,36.0,Fail,classA.xlsx
Student33,11.0,Fail,classA.xlsx
Student34,63.0,Pass,classA.xlsx
Student35,38.0,Fail,classA.xlsx
Student36,86.0,Pass,classA.xlsx
Student37,87.0,Pass,classA.xlsx
Student38,66.0,Pass,classA.xlsx
Student39,77.0,Pass,classA.xlsx
Student40,81.0,Pass,classA.xlsx
Student41,52.0,Pass,classA.xlsx
Student42,95.0,Pass,classA.xlsx
Student43,45.0,Pass,classA.xlsx
Student44,39.0,Fail,classA.xlsx
Student45,45.0,Pass,classA.xlsx
Student46,28.0,Fail,classA.xlsx
Student47,45.0,Pass,classA.xlsx
Student48,24.0,Fail,classA.xlsx
Student49,75.0,Pass,classA.xlsx
Student50,44.0,Pass,classA.xlsx
Student51,38.0,Fail,classA.xlsx
Student52,63.0,Pass,classA.xlsx
Student53,47.0,Pass,classA.xlsx
Student54,91.0,Pass,classA.xlsx
Student55,60.0,Pass,classA.xlsx
Student56,65.0,Pass,classA.xlsx
Student57,46.0,Pass,classA.xlsx
Student58,94.0,Pass,classA.xlsx
Student59,83.0,Pass,classA.xlsx
Student60,100.0,Pass,classA.xlsx
Student61,93.0,Pass,classA.xlsx
Student62,90.0,Pass,classA.xlsx
Student63,70.0,Pass,classA.xlsx
Student64,91.0,Pass,classA.xlsx
Student65,80.0,Pass,classA.xlsx
Student66,51.0,Pass,classA.xlsx
Student67,72.0,Pass,classA.xlsx
Student68,61.0,Pass,classA.xlsx
Student69,88.0,Pass,classA.xlsx
Student70,39.0,Fail,classA.xlsx
Student71,69.0,Pass,classA.xlsx
Student72,81.0,Pass,classA.xlsx
Student73,46.0,Pass,classA.xlsx
Student74,2.0,Fail,classA.xlsx
Student75,52.0,Pass,classA.xlsx
Student76,33.0,Fail,classA.xlsx
Student77,44.0,Pass,classA.xlsx
Student78,42.0,Pass,classA.xlsx
Student79,91.0,Pass,classA.xlsx
Student80,19.0,Fail,classA.xlsx
Student81,1.0,Fail,classA.xlsx
Student82,80.0,Pass,classA.xlsx
Student83,78.0,Pass,classA.xlsx
Student84,56.0,Pass,classA.xlsx
Student85,31.0,Fail,classA.xlsx
Student86,87.0,Pass,classA.xlsx
Student87,38.0,Fail,classA.xlsx
Student88,34.0,Fail,classA.xlsx
Student89,50.0,Pass,classA.xlsx
Student90,97.0,Pass,classA.xlsx
Student91,65.0,Pass,classA.xlsx
Student92,6.0,Fail,classA.xlsx
Student93,50.0,Pass,classA.xlsx
Student94,61.0,Pass,classA.xlsx
Student95,8.0,Fail,classA.xlsx
Student96,20.0,Fail,classA.xlsx
Student97,32.0,Fail,classA.xlsx
Student98,30.0,Fail,classA.xlsx
Student99,0.0,Fail,classA.xlsx
Student100,4.0,Fail,classA.xlsx
Student101,18.0,Fail,classA.xlsx
Student102,69.0,Pass,classA.xlsx
Student103,16.0,Fail,classA.xlsx
Student104,57.0,Pass,classA.xlsx
Student105,15.0,Fail,classA.xlsx
Student106,62.0,Pass,classA.xlsx
Student107,79.0,Pass,classA.xlsx
Student108,88.0,Pass,classA.xlsx
Student109,34.0,Fail,classA.xlsx
Student110,84.0,Pass,classA.xlsx
Student111,1.0,Fail,classA.xlsx
Student112,74.0,Pass,classA.xlsx
Student113,19.0,Fail,classA.xlsx
Student114,57.0,Pass,classA.xlsx
Student115,85.0,Pass,classA.xlsx
Student116,85.0,Pass,classA.xlsx
Student117,84.0,Pass,classA.xlsx
Student118,82.0,Pass,classA.xlsx
Student119,57.0,Pass,classA.xlsx
Student120,93.0,Pass,classA.xlsx
Ali,75.0,Pass,classA.xlsx
Mariam,85.0,Pass,classA.xlsx
